,kepid,koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
5073,10489521,0,3.2244864630000003,131.855925,0.421,4.61686,403730.0,79.08,1456.0,1060.42,1905.1,6389.0,4.331,1.16,298.35327,47.66888,16.169
5075,9328641,0,33.3239576,132.58989,0.47,37.217,2012.1,2.55,416.0,7.06,173.7,5192.0,4.707,0.555,284.85162,45.86351,15.213
5076,9966219,0,17.9559673,139.0347,0.979,6.237,137.0,1.96,750.0,74.61,11.9,5641.0,4.258,1.195,297.47839,46.81575,14.388
5077,5991070,0,0.94102954,131.9021,0.119,4.415,34.5,1.41,2761.0,13794.93,13.3,5766.0,3.783,2.409,299.37268,41.236671,13.134
5079,3757778,0,36.514374043000004,163.79446299999998,0.133,6.48255,111620.0,33.27,546.0,21.08,1701.1,5811.0,4.465,1.0,294.19629,38.83712,15.423
5080,11754430,1,39.818832,166.65072,0.6,10.757,199.1,2.23,650.0,42.32,29.4,5710.0,4.073,1.524,286.64642000000003,49.937778,13.102
5082,11875511,0,67.451045,151.96756000000002,1.01,8.9387,7062.8,36.7,562.0,23.61,205.4,4847.0,3.7260000000000004,2.191,297.16977,50.147369,13.342
5083,6231721,0,2.69339974,131.9006,0.279,1.936,147.5,1.04,1151.0,415.96,8.7,5355.0,4.511,0.863,298.68607000000003,41.521069,15.673
5084,9536108,0,10.43003118,133.2962,0.283,2.029,120.0,1.14,906.0,159.58,10.6,6277.0,4.449,1.031,295.63855,46.132549,14.412
5086,5213230,0,52.6095103,158.6253,0.102,8.202,203.7,1.83,553.0,22.13,15.3,5881.0,4.2589999999999995,1.294,298.0834,40.34621,14.192
5089,5460434,0,50.563697,145.8658,0.779,5.381,50.5,1.57,761.0,79.36,6.8,6759.0,4.018,2.022,295.19501,40.670840999999996,10.948
5090,11249624,0,65.583665567,182.6493381,0.72,5.01216,242400.0,41.22,371.0,4.5,1649.5,5516.0,4.65,0.666,294.43863,48.985240999999995,15.743
5092,8491745,0,111.31980522,226.64870499999998,0.234,23.0078,62705.0,63.68,539.0,20.01,3433.7,5022.0,3.562,2.58,290.51162999999997,44.556019,12.439
5093,3970117,0,110.29512684,235.750948,0.248,16.5339,176340.0,37.88,362.0,4.06,2084.3,5753.0,4.503,0.895,295.46201,39.084389,15.258
5095,10922659,0,31.2543238,155.047,0.019,5.662,438.0,2.29,635.0,38.54,14.7,6246.0,4.433,1.092,293.07062,48.387741,15.82
5100,6032920,0,10.828825742000001,134.92519840000003,0.137,0.7275,92.1,0.76,758.0,78.3,4.8,5862.0,4.584,0.785,288.65695,41.399529,13.492
5101,8409295,1,82.292865,212.0314,0.195,7.048,371.1,1.82,400.0,6.07,13.0,5626.0,4.467,0.957,281.29581,44.465401,14.828
5102,7131760,1,92.436978,163.5794,0.943,6.432,955.2,2.89,348.0,3.46,17.8,5595.0,4.606,0.741,295.69357,42.609509,15.449000000000002
5103,11922778,0,65.427645,176.2733,0.004,9.404,319.0,1.65,453.0,9.94,15.6,6014.0,4.504,0.926,296.0069,50.281811,14.821
5104,9468382,0,11.08260553,136.6562,0.966,6.23,601.2,7.34,1108.0,355.64,51.3,5125.0,3.674,2.196,293.25259,46.04903,13.565999999999999
5105,6145201,0,22.7832776,145.53343999999998,0.626,4.194,120.2,1.33,759.0,78.41,18.2,6517.0,4.382,1.159,297.49515,41.4147,12.972000000000001
5106,5986209,0,23.737952838,147.006678,1.004,8.50818,95884.0,53.27,620.0,34.94,1221.2,5559.0,4.394,1.0,298.37177,41.291759000000006,15.147
5107,9226339,0,21.4618453,132.2156,1.139,5.675,122.2,19.89,722.0,64.17,13.4,5806.0,4.283,1.213,294.91699,45.680679,13.798
